00040ED8B61CA94B	油麻地眾坊街 (YT545)
000CFEE2F92DC17B	粉嶺樓 (ND261)
000DF0B79CF28326	翠竹花園 (WT930)
00115688D89603F9	香港家庭計劃指導會 (YL221)
0016BA6EDE99B8E3	堅拿道東 (軒尼詩道)
0021600EF3DBEF94	九龍寨城公園 (WT115)
0021EF45E20547CA	邁亞美海灣 (TM634)
0035CDF15614428C	碩門邨巴士總站 (ST991)
003D1263A14908F6	荃灣富華街 (TW143)
00408DDF35401A43	友愛邨 (TM165)
005FD6D24F6AFA36	安達臣總站 (AN911)
0083ED6E0A4B1B04	光明台 (ED261)
008DB70ED59FEBCD	柯布連道
008FB3966C991A02	西九文化區 M+ (YT266)
0095D35FB96EC6DF	澤安邨巴士總站 (SS910)
009760575EA9F85D	紅磡佛光街 (HH243)
00A529823BEBABA7	觀塘（雅麗道）總站 (KT915)
00A61AE52C4EE28E	葵盛邨盛安樓 (KW369)
00ACB49D76C8C16F	新蒲崗寧遠街 (WT554)
00B4635AE83E7EC5	何壽基小學 (TM189)
00EC5193F83C6F76	青衣轉車站 - 長安總站 (TY908)
010D8E1BE34538EE	堅尼地城巴士總站
0115F5FC6A7772C3	福來邨永樂樓 (TW149)
012BE724358D1EE1	沙嶺 (ND464)
0132863D9F66CE6B	聯和墟總站 (ND960)
013F884CBCB1CBE4	富寶花園 (MA303)
015AD27DAC83E698	觀塘轉車站 - 創紀之城 (KT636)
015AD88813C61900	美樂花園 (TM464)
01633AD5B1B978B4	高鐵西九龍站 (YT281)
01642BC44DCFDB3C	荃灣大河道 (TW292)
01775517BE76284E	粉嶺站轉車站 - 粉嶺站(C1)
017A10A009B4A409	常怡道 (KT136)
017BCFA7DC246519	風釆中學 (ND421)
01920071384D131D	砵典乍街
01A56227D21AFB04	旺角長沙街,信和中心 (MK161)
01AA9596DB95A8FA	形點 I (YL402)
01B4E1C4514C35E2	天頌苑頌棋閣 (TN272)
01E3687E14E6C4A7	崇光百貨
01E580BD435E9301	長沙灣長荔街 (SS244)
01ED81CCAEB03162	東正道 (WT580)
01F91A12857E4531	恒順園 (TM299)
0209A3C455B1DBE9	耀安邨耀遜樓 (MA111)
021872C0E263AC46	天慈邨 (TN604)
021BA4C3BAC4C747	深水埗(大坑東)巴士總站 (SS936)
0221966C1116C4EC	蝴蝶灣 (TM437)
023C6F2CCE65A42E	乙明邨 (ST137)
023E9E5A9E073E1A	創新路 (PA211)
023F856BE4F830F2	石埗村 (YL583)
0246D8407B61118D	寶林總站 (TK928)
024D478CE8AC52F3	帝都酒店 (ST764)
025FCDDC7D93897D	孟公屋 (SK112)
0269A1F9D98C737E	屯門公路轉車站 (B7) (TM101)
02824AAFC038FA20	景峰花園 (TM246)
028E0B68D3166C00	福安花園 (MA312)
028FA893A173A464	水渠道,聯合廣場 (MK507)
029519563009717D	盈東樓 (WT574)
029C4172D953DAF5	啟德(沐元街)
029EA5F3C2AEFBC9	海富苑 柏景灣 (MK121)
02B95C981F16C906	廣東道,港威酒店 (YT204a)
02CF8D1FE31E9A09	帝逸酒店 (ST606)
02D4D2C0C430EAD0	美田邨美致樓 (TA160)
02E2C6CDE2A867C1	健康街 (KW160)
02E56E932EDAFE8C	曉翠街
02F9C16D5A3191D0	深水埗(欽州街)巴士總站 (SS970)
0306B53F46955E3E	觀塘轉車站 - 創紀之城 (KT641)
030A0F57C577B5EA	亦園村 (TM346)
03134CEBBD692D21	窩美 (SK141)
031CF3D5B2BE9CE8	楊屋道街市 (TW582)
